iter	Passed	Remaining
0	0	56
1	1	63
2	1	61
3	2	59
4	2	56
5	3	55
6	4	53
7	4	52
8	5	51
9	5	49
10	6	48
11	6	47
12	7	47
13	7	46
14	8	45
15	8	44
16	9	44
17	9	44
18	10	43
19	10	42
20	11	41
21	11	41
22	12	41
23	12	40
24	13	40
25	14	40
26	14	40
27	15	39
28	15	38
29	16	38
30	16	37
31	17	37
32	18	36
33	18	36
34	19	35
35	19	35
36	20	34
37	20	33
38	21	33
39	21	32
40	22	31
41	22	30
42	22	30
43	23	30
44	24	29
45	24	28
46	25	28
47	25	27
48	26	27
49	26	26
50	27	26
51	27	25
52	28	25
53	28	24
54	29	23
55	29	23
56	30	22
57	30	22
58	31	21
59	31	21
60	32	20
61	32	19
62	32	19
63	33	18
64	33	18
65	34	17
66	34	17
67	35	16
68	35	16
69	36	15
70	37	15
71	38	15
72	39	14
73	40	14
74	40	13
75	41	12
76	41	12
77	41	11
78	42	11
79	43	10
80	43	10
81	44	9
82	45	9
83	45	8
84	46	8
85	46	7
86	47	7
87	47	6
88	48	5
89	48	5
90	49	4
91	49	4
92	50	3
93	50	3
94	51	2
95	52	2
96	52	1
97	53	1
98	53	0
99	54	0
