iter	Passed	Remaining
0	55	55359
1	55	27880
2	56	18686
3	56	14095
4	56	11337
5	57	9495
6	57	8184
7	58	7193
8	58	6423
9	58	5806
10	59	5310
11	59	4897
12	59	4542
13	60	4241
14	60	3978
15	60	3746
16	61	3543
17	61	3361
18	62	3201
19	62	3056
20	62	2927
21	63	2814
22	63	2708
23	64	2608
24	64	2515
25	64	2432
26	65	2359
27	65	2284
28	66	2214
29	66	2148
30	66	2087
31	67	2030
32	67	1976
33	67	1925
34	68	1878
35	68	1833
36	68	1790
37	69	1749
38	69	1710
39	69	1673
40	70	1639
41	70	1606
42	70	1574
43	71	1544
44	71	1514
45	71	1486
46	72	1461
47	72	1436
48	72	1411
49	73	1390
50	73	1369
51	74	1350
52	74	1329
53	74	1309
54	75	1290
55	75	1274
56	76	1257
57	77	1251
58	78	1249
59	78	1232
60	79	1217
61	79	1203
62	79	1188
63	80	1173
64	80	1159
65	80	1145
66	81	1132
67	81	1118
68	81	1106
69	82	1092
70	82	1079
71	82	1067
72	83	1056
73	83	1045
74	83	1034
75	84	1024
76	84	1013
77	84	1003
78	85	993
79	85	983
80	85	973
81	86	964
82	86	955
83	86	946
84	87	944
85	88	943
86	89	935
87	89	927
88	89	919
89	90	913
90	90	908
91	91	901
92	91	895
93	92	891
94	92	884
95	93	877
96	93	869
97	93	861
98	93	854
99	94	848
100	94	842
101	94	835
102	95	830
103	95	824
104	95	817
105	96	811
106	96	805
107	96	799
108	97	793
109	97	788
110	97	782
111	98	777
112	98	772
113	98	767
114	99	762
115	99	756
116	99	751
117	99	747
118	100	743
119	101	740
120	101	736
121	101	732
122	102	728
123	102	726
124	103	725
125	104	724
126	104	720
127	105	717
128	105	713
129	106	710
130	106	707
131	107	703
132	107	700
133	107	697
134	108	696
135	109	694
136	109	690
137	110	687
138	110	683
139	110	679
140	111	676
141	111	672
142	111	669
143	112	665
144	112	662
145	112	658
146	112	655
147	113	651
148	113	649
149	114	646
150	114	644
151	115	643
152	115	640
153	116	638
154	116	635
155	117	634
156	117	632
157	118	629
158	118	626
159	118	623
160	119	621
161	119	618
162	119	615
163	120	613
164	120	610
165	121	608
166	121	605
167	121	602
168	122	600
169	122	597
170	122	595
171	123	592
172	123	589
173	123	586
174	123	584
175	124	581
176	124	579
177	124	576
178	125	574
179	125	572
180	125	569
181	126	567
182	126	564
183	126	562
184	127	560
185	127	558
186	128	557
187	128	555
188	128	553
189	129	551
190	129	549
191	130	547
192	130	545
193	130	543
194	131	541
195	131	539
196	131	537
197	132	536
198	132	534
199	133	532
200	133	531
201	134	529
202	134	527
203	134	525
204	135	523
205	135	521
206	135	520
207	136	518
208	136	516
209	136	515
210	137	513
211	137	511
212	137	509
213	138	507
214	138	505
215	138	504
216	139	502
217	139	500
218	139	498
219	140	496
220	140	494
221	140	493
222	141	491
223	141	490
224	142	489
225	142	487
226	142	486
227	143	484
228	143	482
229	143	481
230	144	479
231	144	478
232	145	477
233	145	476
234	145	474
235	146	473
236	146	471
237	146	470
238	147	468
239	147	467
240	147	465
241	148	464
242	148	462
243	148	461
244	149	459
245	149	458
246	149	456
247	150	455
248	150	454
249	150	452
250	151	451
251	151	449
252	151	448
253	152	446
254	152	445
255	152	443
256	152	442
257	153	440
258	153	439
259	153	437
260	154	436
261	154	435
262	154	433
263	155	432
264	155	431
265	155	430
266	156	428
267	156	427
268	156	426
269	157	425
270	157	423
271	157	422
272	158	421
273	158	420
274	158	419
275	159	417
276	159	416
277	159	415
278	160	414
279	160	412
280	160	411
281	161	410
282	161	409
283	161	408
284	162	407
285	162	405
286	162	404
287	163	403
288	163	402
289	163	400
290	164	399
291	164	398
292	164	397
293	164	396
294	165	395
295	165	393
296	165	392
297	166	391
298	166	390
299	166	389
300	167	388
301	167	387
302	167	386
303	168	384
304	168	384
305	169	383
306	169	382
307	169	381
308	170	380
309	170	379
310	170	378
311	170	376
312	171	376
313	171	375
314	171	374
315	172	373
316	172	372
317	173	371
318	173	370
319	173	369
320	174	368
321	174	367
322	174	366
323	174	365
324	175	364
325	175	363
326	175	362
327	176	360
328	176	360
329	176	359
330	177	358
331	177	357
332	177	356
333	178	355
334	178	354
335	178	353
336	179	352
337	179	351
338	179	350
339	179	349
340	180	348
341	180	347
342	180	346
343	181	345
344	181	344
345	181	343
346	182	342
347	182	341
348	182	341
349	183	340
350	183	340
351	184	339
352	184	338
353	185	338
354	185	337
355	186	336
356	186	336
357	187	335
358	187	335
359	188	334
360	188	333
361	189	333
362	189	332
363	189	331
364	190	330
365	190	329
366	190	329
367	191	328
368	191	327
369	191	326
370	192	326
371	192	325
372	193	324
373	193	323
374	193	323
375	194	322
376	194	321
377	194	320
378	195	319
379	195	319
380	196	318
381	196	317
382	197	317
383	197	316
384	197	316
385	198	315
386	198	314
387	198	313
388	199	313
389	199	312
390	200	311
391	200	311
392	200	310
393	201	309
394	201	308
395	202	308
396	202	307
397	203	307
398	203	306
399	203	305
400	204	305
401	204	304
402	204	303
403	205	303
404	205	302
405	206	301
406	206	301
407	207	300
408	207	299
409	207	299
410	208	298
411	208	297
412	209	297
413	209	296
414	209	295
415	210	295
416	210	294
417	211	294
418	211	293
419	212	293
420	212	292
421	212	291
422	213	291
423	213	290
424	214	289
425	214	289
426	215	288
427	215	288
428	215	287
429	216	286
430	216	286
431	217	285
432	217	285
433	218	284
434	218	283
435	218	282
436	219	282
437	219	281
438	219	281
439	220	280
440	220	279
441	221	279
442	221	278
443	221	277
444	222	277
445	222	276
446	222	275
447	223	275
448	223	274
449	224	273
450	224	273
451	225	272
452	225	272
453	225	271
454	226	271
455	226	270
456	227	270
457	227	269
458	228	269
459	229	268
460	229	268
461	230	267
462	230	267
463	231	267
464	231	266
465	232	266
466	232	265
467	233	265
468	233	264
469	234	264
470	234	263
471	234	262
472	235	262
473	235	261
474	235	260
475	236	260
476	236	259
477	236	258
478	237	258
479	237	257
480	238	256
481	238	256
482	239	255
483	239	255
484	240	254
485	240	254
486	240	253
487	241	253
488	241	252
489	242	252
490	242	251
491	243	251
492	243	250
493	244	250
494	245	250
495	245	249
496	246	249
497	246	248
498	247	248
499	247	247
500	248	247
501	248	246
502	248	245
503	249	245
504	249	244
505	250	244
506	250	243
507	251	243
508	251	242
509	251	242
510	252	241
511	252	240
512	253	240
513	253	239
514	254	239
515	254	238
516	254	238
517	255	238
518	256	237
519	257	237
520	257	236
521	257	236
522	258	235
523	258	234
524	259	234
525	259	234
526	260	233
527	261	233
528	261	233
529	262	232
530	262	232
531	263	231
532	263	231
533	264	230
534	264	230
535	265	229
536	265	228
537	265	228
538	266	227
539	266	227
540	267	226
541	268	226
542	268	225
543	268	225
544	269	224
545	269	224
546	270	223
547	270	223
548	271	222
549	271	222
550	272	221
551	272	221
552	273	220
553	273	220
554	273	219
555	274	219
556	274	218
557	275	217
558	275	217
559	275	216
560	276	216
561	276	215
562	277	215
563	277	214
564	277	214
565	278	213
566	278	213
567	279	212
568	279	211
569	280	211
570	280	211
571	281	210
572	281	209
573	282	209
574	282	208
575	282	208
576	283	207
577	283	207
578	284	206
579	284	206
580	285	205
581	285	204
582	285	204
583	286	203
584	286	203
585	287	202
586	287	202
587	288	201
588	288	201
589	288	200
590	289	200
591	289	199
592	289	198
593	290	198
594	290	197
595	290	197
596	291	196
597	291	195
598	291	195
599	292	194
600	292	194
601	292	193
602	293	192
603	293	192
604	293	191
605	294	191
606	294	190
607	294	190
608	295	189
609	295	188
610	295	188
611	296	187
612	296	187
613	296	186
614	297	186
615	297	185
616	297	184
617	298	184
618	298	183
619	299	183
620	299	182
621	299	182
622	300	181
623	300	181
624	300	180
625	301	179
626	301	179
627	301	178
628	302	178
629	302	177
630	303	177
631	303	176
632	303	176
633	304	175
634	304	174
635	304	174
636	305	173
637	305	173
638	305	172
